144	397.5
147.75	397.5
151	396
154.5	395.25
159.5	393.25
163.25	390.25
163.75	388.25
164.75	385
166.5	382
168.25	379.25
169.5	375.5
170.25	372.75
170.25	370
170.25	367.25
170.25	364.5
171	361.75
171.75	359.5
172.5	358.25
174	355.5
175.5	351.75
175.25	350
174.5	347.5
174.5	345
174.5	343.25
174.5	340.5
175.25	338.25
175.5	335.75
176	333.25
177.25	331.5
178.5	330.25
179.75	328.75
181	327.75
182.75	326.75
184.75	325.75
186	324.75
187	323.5
188.75	322
190	320.25
191	319
192.5	318.75
193.5	316.75
195	316.25
196.75	315.5
198.75	314
199.75	313.25
201.5	311.75
202.75	310.75
204.5	309.5
205.75	308.5
207	308
208.5	307.25
210.25	306.75
211.25	306
213.25	305.5
215.25	304.5
217.25	303.5
219	302.75
220.25	301.5
221.5	301
223	300.25
225	298.5
226.75	298.5
229.5	297.5
232.25	297.5
234.25	296.75
237	296.75
239	296
240.25	296
241.25	296
242.75	295
244.25	294.75
246.5	294
248.5	294
251.5	294
253.25	293.75
255.25	293.75
258.25	292.75
260	292
261.5	292
263.75	292
265.25	291.25
267.75	290.75
269.5	290.5
271.25	290.25
272.75	290.25
274.5	290.25
275.75	290
277.5	289.25
279.75	289.25
282.25	289
283.75	288.5
285.25	288.5
287.75	287.75
289.5	287.75
290.75	287
293	287
295.5	287
298	286.25
300.75	286.25
303.75	286.25
306	286.25
308	286.25
310	286.25
312.25	285.5
314.75	286.25
317.25	286.25
318.25	286.25
319.833	285.833
322.5	285.833
325.5	285.833
327.5	285.833
330.167	285.833
332.5	285.833
335.5	285.833
338.5	286.167
340.5	286.167
343.5	286.167
346.5	286.167
348.833	286.167
350.833	285.833
353.167	285.833
354.5	285.833
357.167	285.833
360.833	285.833
362.5	285.833
363.5	285.833
365.833	285.833
368.167	285.167
370.5	285.167
373.167	285.167
375.5	285.167
378.833	285.167
380.5	284.833
382.5	284.833
384.167	284.833
386.5	284.833
389.167	285.167
392.5	285.167
393.5	285.25
395.125	285.375
396.5	285.375
398.375	285.375
400.5	285.375
401.875	285.75
403.875	285.75
406.75	285.875
408.5	285.875
410	285.875
411.375	285.875
413.125	286
414.625	286
416.375	286
418.125	286.25
419.25	286.25
421	286.5
422.75	286.5
424.375	286.5
425.625	286.5
427	286.75
427.875	286.75
429.625	286.75
431	286.75
433.167	286.5
434.667	287.167
436.333	287.167
438.333	287.167
440.333	287.167
442.5	287.333
444.833	287.667
447.167	287.667
449.667	288.167
452.5	288.167
454.333	288.167
455.333	287.833
456.333	287.833
458	287.833
459.333	287.833
461.167	287.833
463	287.833
463.833	287.833
465.5	287.833
467.167	287.5
469.5	288.167
471.833	289.167
475.5	290.5
479.167	291.5
483.167	292.5
486.5	294.833
492.833	295.5
497.833	296.167
501.167	297.167
506.5	297.167
510.167	298.167
513.833	298.833
517.833	299.833
522.5	300.5
527.167	301.167
530.167	301.5
535.833	303.833
543.167	305.5
550.833	306.167
554.167	305.833
558.833	306.5
561.833	307.5
564.5	307.5
567.167	308.167
571.167	309.167
576.167	309.833
581	311.5
583.875	312.5
586.375	313.125
589.625	314.375
592.25	315.75
595	317
598.25	318.125
600.625	318.5
603.75	319.625
607.625	319.875
613.125	320.25
619.875	320.5
624.875	321.75
628.625	322.75
631.875	323.875
635.125	324.5
638.5	325.125
641.5	325.75
646.375	327.125
651	328.167
655.333	328.833
658.333	329.667
661.333	331
665.5	331.667
669.5	333
672.5	333.5
675.5	334
678	334.667
683	335.5
687.5	337
690.5	337
694.5	338.5
698	338.5
702.167	339.5
706.667	340.333
711.333	341.667
714.833	342.333
719.333	343.167
723.833	343.167
741.833	344.833
754.5	345.5
767.833	348.167
778.5	346.833
789.833	346.833
796.5	344.167
804.5	344.167
807.833	340.833
813.833	339.5
817.833	336.833
823.167	336.833
829.833	334.833
837.167	333.5
842.5	332.167
847.833	329.5
851.167	326.167
