144	390	2.5
166.167	380.833	3
170.167	364.833	3.5
174.167	352.833	4
175.5	338.167	5
182.167	327.5	6
186.167	318.167	6.5
196.833	310.167	7.5
204.833	300.833	7.8
215.5	295.5	8
231.5	291.5	8.5
239.5	290.167	9
252.833	286.167	10
268.833	284.833	10.5
286.167	282.167	10.8
303.5	279.5	11.2
327.5	280.833	11.8
351.5	279.5	12.5
372.833	282.167	12.5
390.167	282.167	12.6
407.5	284.833	12.5
432.833	284.833	12.5
454.167	290.167	12.5
471.5	288.833	12.4
490.167	290.167	12.5
518.167	290.167	12.5
532.833	296.833	12
552.833	299.5	11
579.5	306.167	10
598.167	310.167	9
619.5	312.833	8
636.833	316.833	7
660.833	326.167	6
687.5	330.167	5
715.5	336.833	4
756.833	344.833	3
796.833	343.5	2
820.833	336.833	2
844.833	328.833	2
860.833	319.5	2
874.167	308.833	2
887.5	291.5	2
882.167	264.833	2
879.5	242.167	2
868.833	224.833	3
848.833	208.833	4
810.167	182.167	5
794.167	172.833	6
766.167	158.167	7
747.5	150.167	7.5
727.5	147.5	8
700.833	146.167	9
655.5	162.167	10
630.167	179.5	10.5
610.167	191.5	11
586.167	199.5	11.5
568.833	207.5	12
552.833	207.5	12.5
540.833	207.5	12.8
528.833	212.833	13
514.167	219.5	13.5
499.5	223.5	14
475.5	227.5	14.25
452.833	227.5	14.5
426.167	228.833	14.25
408.833	230.167	14
391.5	227.5	13.75
372.833	226.167	13.5
340.833	207.5	13
312.833	196.833	12
274.167	183.5	11
234.167	184.833	10
195.5	199.5	10
168.833	216.833	9
136.833	238.167	8
130.167	270.167	7
124.833	298.167	6
126.167	322.167	5
118.167	350.167	4
119.5	374.167	3
