-180	0.263296096062904
-170	0.24804883897605512
-160	0.2333055393355873
-150	0.21869168555285176
-140	0.20420977646432242
-130	0.18985225172985037
-120	0.17561217786488792
-110	0.16148304293668916
-100	0.1474587201583386
-90	0.1335334337403343
-80	0.11970172846370813
-70	0.10595844247173403
-60	0.09229868287186013
-50	0.07871780379894501
-40	0.0652113866407638
-30	0.05177522216825542
-20	0.03840529434938537
-10	0.025097765653716977
0	0.011848963681234247
10	-0.0013446310300120985
20	-0.01448639614439721
30	-0.027579577728949898
40	-0.04062729961028247
50	-0.053632571975371406
60	-0.06659829929124841
70	-0.07952728761147464
80	-0.09242225132879471
90	-0.10528581942721597
100	-0.11812054128077454
110	-0.13092889204113567
120	-0.14371327765208203
130	-0.15647603952451447
140	-0.1692194589027804
150	-0.18194576094960394
160	-0.19465711857441043
170	-0.20735565602747627
